Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1938,1938,1,1,0,0.0129676,1,0,0,0,0,0.01329391,0,0,0,0,109,202,0,1.413469,2.619456,7,0.0507497,1,0.1839697,3.37,0.9014544,1,0,0,0.04130019,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.1800038,5,2.276923,0,0,0
1938.08,1938,2,1,0,0.0129676,1,0,0,0,0,0.01090207,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05085566,1,0.1839697,3.37,0.9550163,1,0,0,0.03394016,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.2508456,5,2.276923,0,0,0
1938.17,1938,3,1,0,0.0129676,1,0,0,0,0,0.02696585,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05096183,1,0.1839697,3.37,0.9669615,1,0,0,0.08412494,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.4091892,5,2.276923,0,0,0
1938.25,1938,4,1,0,0.0129676,1,0,0,0,0,0.04748661,0,0,0,0,108,200,0,1.400501,2.593521,7,0.05106822,1,0.1839697,3.37,0.9792571,1,0,0.160486,0.1484526,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.672664,5,2.276923,0,0,0
1938.33,1938,5,1,0,0.01285932,1,0.0642966,0.0008268104,7.311313,0.7424888,0.1172621,6.568824,0.02518715,0.01368692,6.396672,108,200,0.08225685,1.388806,2.571864,6.057033,0.04337951,1,0.1639273,5.764,0.9338869,1,0.8264707,0.7929751,0.3673499,1,True,0.987637,2.276923,0.021,1,137,fTemp,1.555,1.155868,5,2.276923,6.396672,0.1456473,0
1938.42,1938,6,1,0,0.01285932,1,0.0642966,0.0008268104,8.295595,0.9115093,0.1640278,7.384086,0.03293583,0.01187595,6.396672,110,204,0.08225685,1.414525,2.623301,12.08293,0.08485689,1,0.1513103,8.372,0.9248505,1,0.8264707,0.9180609,0.5149269,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,1.533573,5,2.276923,6.396672,0.1456473,0
1938.5,1938,7,1,0,0.01309299,1,0.06546494,0.0008571318,8.758031,1.15157,0.2134958,7.606461,0.0329047,0.01277788,6.512299,110,204,0.08526546,1.440229,2.67097,18.90722,0.1330066,1,0.1535958,7.81,0.8926773,1,0.8264707,0.9735938,0.6568689,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,1.904255,5,2.276923,6.512299,0.14828,0
1938.58,1938,8,1,0,0.01309299,1,0.06546494,0.0008571318,7.479767,0.8880305,0.1432825,6.591737,0.02315166,0.01551015,6.512299,109,203,0.08526546,1.427136,2.657877,24.97537,0.1760535,1,0.1447652,10.286,0.9034237,1,0.8264707,0.858436,0.4417619,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.176245,5,2.276923,6.512299,0.14828,0
1938.67,1938,9,1,0,0.01309299,1,0.06546494,0.0008571318,5.813625,0.7420215,0.1131829,5.071604,0.01784323,0.01564169,6.512299,109,203,0.08526546,1.427136,2.657877,29.64002,0.2093623,1,0.1295009,17.278,0.8852242,1,0.8264707,0.7814437,0.3496889,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.404232,5,2.276923,6.512299,0.14828,0
1938.75,1938,10,1,0,0.01309299,1,0.06546494,0.0008571318,3.460179,0.502797,0.06263756,2.957382,0.00840336,0.01976769,6.512299,109,202,0.08526546,1.427136,2.644784,32.35519,0.2290083,1,0.1396107,12.17,0.9313759,1,0.8264707,0.472561,0.1939284,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.557763,5,2.276923,6.512299,0.14828,0
1938.83,1938,11,1,0,0.01309299,1,0,0,0,0,0.03864897,0,0,0,0,109,202,0,1.427136,2.644784,32.35519,0.2342853,1,0.1646769,5.644,0.8289423,1,0,0.0273109,0.1199086,1,False,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.741445,5,2.276923,0,0,0
1938.92,1938,12,2,0,0.01309299,1,0,0,0,0,0.01413677,0,0,0,0,109,202,0,1.427136,2.644784,32.35519,0.2347744,1,0.1778156,3.948,0.851537,1,0,0,0.04395095,1,False,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.790128,5,2.276923,0,0,0
1939,1939,1,2,0,0.01309299,1,0,0,0,0,0.01325648,0,0,0,0,108,201,0,1.414043,2.631691,6.890697,0.05010439,1,0.1839697,3.37,0.9014544,1,0,0,0.04130019,1,False,0.9875174,1.536522,0.021,1,137,fTemp,2.894093,2.742641,5,1.536522,0,0,1.079718
1939.08,1939,2,2,0,0.01309299,1,0,0,0,0,0.01087137,0,0,0,0,108,201,0,1.414043,2.631691,6.890697,0.05020899,1,0.1839697,3.37,0.9550163,1,0,0,0.03394016,1,False,0.9875174,1.536522,0.021,1,137,fTemp,2.894093,2.789685,5,1.536522,0,0,1.079718
1939.17,1939,3,2,0,0.01309299,1,0,0,0,0,0.02688992,0,0,0,0,108,200,0,1.414043,2.618598,6.890697,0.05031381,1,0.1839697,3.37,0.9669615,1,0,0,0.08412494,1,False,0.9875174,1.536522,0.021,1,137,fTemp,2.894093,2.900411,5,1.536522,0,0,1.079718
1939.25,1939,4,2,0,0.01309299,1,0,0,0,0,0.04735291,0,0,0,0,108,200,0,1.414043,2.618598,6.890697,0.05041885,1,0.1839697,3.37,0.9792571,1,0,0.160486,0.1484526,1,False,0.9875174,1.536522,0.021,1,137,fTemp,2.894093,3.089388,5,1.536522,0,0,1.079718
