Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1895,1895,1,1,0,0.01358848,1,0,0,0,0,0.01329391,0,0,0,0,102,208,0,1.386025,2.826405,7,0.0507497,1,0.1839697,3.37,0.8370098,1,0,0,0.04130019,1,False,0.987637,2.3,0.022,1,175,fTemp,1.555,0.2645868,5,2.3,0,0,0
1895.08,1895,2,1,0,0.01358848,1,0,0,0,0,0.01090207,0,0,0,0,102,208,0,1.386025,2.826405,7,0.05085566,1,0.1839697,3.37,0.9117865,1,0,0,0.03394016,1,False,0.987637,2.3,0.022,1,175,fTemp,1.555,0.3979549,5,2.3,0,0,0
1895.17,1895,3,1,0,0.01358848,1,0,0,0,0,0.02696585,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05096183,1,0.1839697,3.37,0.9307206,1,0,0,0.08412494,1,False,0.987637,2.3,0.022,1,175,fTemp,1.555,0.7075332,5,2.3,0,0,0
1895.25,1895,4,1,0,0.01358848,1,0,0,0,0,0.04748661,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05106822,1,0.1839697,3.37,0.9518774,1,0,0.1434405,0.1484526,1,False,0.987637,2.3,0.022,1,175,fTemp,1.555,1.238246,5,2.3,0,0,0
1895.33,1895,5,1,0,0.01347499,1,0.06737493,0.0009078762,7.760634,0.7680855,0.1172621,6.992549,0.02927798,0.01309652,6.701276,102,206,0.0902996,1.374449,2.775847,10.43373,0.07465235,1,0.1827637,3.478,0.9633512,1,0.8047571,0.7887716,0.3673499,1,True,0.987637,2.3,0.022,1,175,fTemp,1.555,2.407681,5,2.3,6.701276,0.1541293,0
1895.42,1895,6,1,0,0.01347499,1,0.06737493,0.0009078762,8.865345,0.942933,0.1640278,7.922412,0.03854571,0.01136369,6.701276,104,210,0.0902996,1.401399,2.829747,16.95807,0.1189813,1,0.1824632,3.514,0.9571669,1,0.8047571,0.9163973,0.5149269,1,True,0.9875174,2.3,0.022,1,175,fTemp,1.555,3.582192,5,2.3,6.701276,0.1541293,0
1895.5,1895,7,1,0,0.01347499,1,0.06737493,0.0009078762,9.308223,1.170118,0.2134958,8.138104,0.03829813,0.0120085,6.701276,103,210,0.0902996,1.387924,2.829747,24.4446,0.1718589,1,0.182952,3.464,0.9342318,1,0.8047571,0.9730576,0.6568689,1,True,0.9875174,2.3,0.022,1,175,fRad,1.555,5.180596,5,2.3,6.701276,0.1541293,0
1895.58,1895,8,1,0,0.01347499,1,0.06737493,0.0009078762,7.899674,0.9023339,0.1432825,6.99734,0.02629916,0.01484113,6.701276,103,210,0.0902996,1.387924,2.829747,30.88896,0.2176102,1,0.1817289,3.576,0.9421712,1,0.8047571,0.8555616,0.4417619,1,True,0.9875174,2.3,0.022,1,175,fTemp,1.555,6.251799,5,2.3,6.701276,0.1541293,0
1895.67,1895,9,1,0,0.01347499,1,0.06737493,0.0009078762,6.161668,0.7539734,0.1131829,5.407695,0.02034058,0.014967,6.701276,103,209,0.0902996,1.387924,2.816272,35.86534,0.2531847,1,0.1791327,3.818,0.9286208,1,0.8047571,0.7770062,0.3496889,1,True,0.9875174,2.3,0.022,1,175,fTemp,1.555,7.121032,5,2.3,6.701276,0.1541293,0
1895.75,1895,10,1,0,0.01347499,1,0,0,0,0,0.06263756,0,0,0,0,103,209,0,1.387924,2.816272,35.86534,0.2591614,1,0.1773343,4.008,0.8817428,1,0,0.4618518,0.1939284,1,False,0.9875174,2.3,0.022,1,175,fTemp,1.555,7.62834,5,2.3,0,0,0
