Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1940,1940,1,1,0,0.01358848,1,0,0,0,0,0.01329391,0,0,0,0,102,208,0,1.386025,2.826405,7,0.0507497,1,0.1839697,3.37,0.8370098,1,0,0,0.04130019,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.1450396,5,2.807576,0,0,0
1940.08,1940,2,1,0,0.01358848,1,0,0,0,0,0.01090207,0,0,0,0,102,208,0,1.386025,2.826405,7,0.05085566,1,0.1839697,3.37,0.9117865,1,0,0,0.03394016,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.1878262,5,2.807576,0,0,0
1940.17,1940,3,1,0,0.01358848,1,0,0,0,0,0.02699863,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05096183,1,0.1839697,3.37,0.9307206,1,0,0,0.0842272,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.2915447,5,2.807576,0,0,0
1940.25,1940,4,1,0,0.01358848,1,0,0,0,0,0.04754542,0,0,0,0,102,207,0,1.386025,2.812816,7,0.05106822,1,0.1839697,3.37,0.9518774,1,0,0.1434405,0.1486364,1,False,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.4701452,5,2.807576,0,0,0
1940.33,1940,5,1,0,0.01347499,1,0.06737493,0.0009078762,9.319368,1.00158,0.117389,8.317788,0.02955601,0.01557903,6.701276,102,206,0.0902996,1.374449,2.775847,7.665432,0.05484544,1,0.159078,6.64,0.8849463,1,0.8036894,0.7887716,0.3677475,1,True,0.987637,2.807576,0.022,1,175,fTemp,1.555,0.8140654,5,2.807576,6.701276,0.1881434,0
1940.42,1940,6,1,0,0.01347499,1,0.06737493,0.0009078762,10.54416,1.22958,0.1640614,9.314578,0.03853965,0.01351773,6.701276,104,210,0.0902996,1.401399,2.829747,15.46442,0.1085015,1,0.144394,10.542,0.8725934,1,0.8036894,0.9163973,0.5150322,1,True,0.9875174,2.807576,0.022,1,175,fRad,1.555,1.1062,5,2.807576,6.701276,0.1881434,0
1940.5,1940,7,1,0,0.0137199,1,0.06859952,0.0009411789,10.97698,1.55341,0.213383,9.423572,0.03796725,0.01454442,6.822408,103,210,0.09360278,1.41315,2.88118,23.94245,0.1682648,1,0.1367033,14.974,0.8312607,1,0.8036894,0.9730576,0.6565219,1,True,0.9875174,2.807576,0.022,1,175,fRad,1.555,1.470724,5,2.807576,6.822408,0.1915443,0
1940.58,1940,8,1,0,0.0137199,1,0.06859952,0.0009411789,9.374662,1.197908,0.1431349,8.176755,0.02671324,0.01765435,6.822408,103,210,0.09360278,1.41315,2.88118,31.46297,0.22157,1,0.1385656,12.798,0.8448738,1,0.8036894,0.8555616,0.4413068,1,True,0.9875174,2.807576,0.022,1,175,fRad,1.555,1.734215,5,2.807576,6.822408,0.1915443,0
1940.67,1940,9,1,0,0.0137199,1,0.06859952,0.0009411789,7.211696,1.00095,0.1130259,6.210746,0.02037702,0.01780407,6.822408,103,209,0.09360278,1.41315,2.86746,37.1689,0.2622873,1,0.1294188,17.352,0.8219821,1,0.8036894,0.7770062,0.3492037,1,True,0.9875174,2.807576,0.022,1,175,fTemp,1.555,1.960041,5,2.807576,6.822408,0.1915443,0
1940.75,1940,10,1,0,0.0137199,1,0,0,0,0,0.06253355,0,0,0,0,103,209,0,1.41315,2.86746,37.1689,0.2685809,1,0.1360309,13.844,0.8817428,1,0,0.4618518,0.1936064,1,False,0.9875174,2.807576,0.022,1,175,fTemp,1.555,2.183284,5,2.807576,0,0,0
1940.83,1940,11,1,0,0.0137199,1,0,0,0,0,0.03861115,0,0,0,0,103,208,0,1.41315,2.85374,37.1689,0.2691416,1,0.1573804,7.104,0.7490078,1,0,0.007561391,0.1197912,1,False,0.9875174,2.807576,0.022,1,175,fTemp,1.555,2.265766,5,2.807576,0,0,0
1940.92,1940,12,2,0,0.0137199,1,0,0,0,0,0.01413385,0,0,0,0,102,208,0,1.39943,2.85374,37.1689,0.2697035,1,0.173337,4.462,0.7753557,1,0,0,0.04394186,1,False,0.9875174,2.807576,0.022,1,175,fTemp,1.555,2.301251,5,2.807576,0,0,0
1941,1941,1,2,0,0.0137199,1,0,0,0,0,0.01325648,0,0,0,0,102,207,0,1.39943,2.84002,6.890697,0.05010439,1,0.1839697,3.37,0.8370098,1,0,0,0.04130019,1,False,0.9875174,1.885558,0.022,1,175,fTemp,3.031907,2.213997,5,1.885558,0,0,1.06575
1941.08,1941,2,2,0,0.0137199,1,0,0,0,0,0.01087137,0,0,0,0,102,207,0,1.39943,2.84002,6.890697,0.05020899,1,0.1839697,3.37,0.9117865,1,0,0,0.03394016,1,False,0.9875174,1.885558,0.022,1,175,fTemp,3.031907,2.251844,5,1.885558,0,0,1.06575
1941.17,1941,3,2,0,0.0137199,1,0,0,0,0,0.02688992,0,0,0,0,102,206,0,1.39943,2.8263,6.890697,0.05031381,1,0.1839697,3.37,0.9307206,1,0,0,0.08412494,1,False,0.9875174,1.885558,0.022,1,175,fTemp,3.031907,2.344884,5,1.885558,0,0,1.06575
1941.25,1941,4,2,0,0.0137199,1,0,0,0,0,0.04735291,0,0,0,0,101,206,0,1.38571,2.8263,6.890697,0.05041885,1,0.1839697,3.37,0.9518774,1,0,0.1434405,0.1484526,1,False,0.9875174,1.885558,0.022,1,175,fTemp,3.031907,2.505299,5,1.885558,0,0,1.06575
1941.33,1941,5,2,0,0.01343521,1,0.06717604,0.000902524,5.607335,0.6029198,0.116932,5.004416,0.02261596,0.01221398,6.6816,101,206,0.08976868,1.356956,2.767653,4.611902,0.03309498,1,0.1632806,5.898,0.8867354,1,0.8443384,0.7887716,0.3673499,1,True,0.9875174,1.885558,0.022,1,175,fTemp,3.031907,2.819781,5,1.885558,6.6816,0.1259854,1.06575
1941.42,1941,6,2,0,0.01343521,1,0.06717604,0.000902524,6.357825,0.7401687,0.1635661,5.617657,0.02918365,0.0107321,6.6816,123,250,0.08976868,1.652531,3.358802,2.21496,0.01314464,1,0.155486,7.628,0.8744817,1,0.8443384,0.9163973,0.5149269,1,True,0.9851745,1.885558,0.022,1,175,fRad,3.031907,2.969702,5,1.885558,6.6816,0.1259854,1.06575
1941.5,1941,7,2,0,0.0162924,1,0.08146201,0.001327212,7.886771,1.112562,0.2538681,6.774209,0.03425789,0.01375293,8.093286,123,250,0.1318591,2.003966,4.073101,6.372504,0.03775458,1,0.1624924,6.088,0.8325163,1,0.8443384,0.9730576,0.6568689,1,True,0.9851745,1.885558,0.022,1,175,fRad,3.031907,3.313621,5,1.885558,8.093286,0.1526036,1.06575
1941.58,1941,8,2,0,0.0162924,1,0.08146201,0.001327212,6.745065,0.8579493,0.1703774,5.887115,0.02874817,0.01401627,8.093286,123,249,0.1318591,2.003966,4.056808,11.78747,0.06997879,1,0.1581844,6.844,0.846082,1,0.8443384,0.8555616,0.4417619,1,True,0.9851745,1.885558,0.022,1,175,fRad,3.031907,3.567346,5,1.885558,8.093286,0.1526036,1.06575
